ID,pos_count,neg_count,SAT_SCORE_1,SAT_SCORE_2
304020,71,110,920,960
2021034,64,73,1060,1270
30200003,191,221,980,1070
154738143,237,89,760,920
302001045,223,212,1000,1090
302001051,34,66,1170,1230
302001275,155,174,860,890
302001307,291,170,900,1120
302001327,93,66,750,880
302001332,44,66,930,1000
303001044,4,1,890,NULL
303001147,1,NULL,760,700
303001280,295,144,880,750
303001300,335,222,1030,1110
303001315,376,59,1120,1090
305001280,94,67,900,990
305001420,133,76,830,960
305001603,109,164,940,1000
305002305,110,95,980,960
305002382,306,111,1020,1070
306001094,214,212,990,1080
306001114,171,126,1000,1020
306001281,243,223,1050,1070
306001301,6,1,NULL,NULL
319247085,86,140,950,1090
701152680,190,75,700,710
701156017,274,62,1000,1020
701156645,32,53,NULL,NULL
701158153,18,2,870,NULL
701158966,227,120,760,850
701159006,11,4,NULL,NULL
701159062,220,105,NULL,920
896052544,43,22,990,NULL
3042022009,202,129,970,990
3042022038,206,199,1060,1070
3042022074,206,129,680,800
2021014,101,12,980,1100
2021017,54,107,1150,1230
2021064,280,105,840,970
2021067,97,21,840,NULL
181745119,5,2,970,1040
245572594,315,131,920,880
301001529,36,5,870,640
301001582,82,56,860,880
302001270,125,92,970,1130
302001276,134,107,860,960
302001302,17,17,NULL,NULL
302001322,104,187,860,990
303001222,35,4,680,740
303001305,408,448,960,1030
303001310,226,181,810,830
303001319,307,81,900,920
303001325,324,92,740,800
303001330,319,177,1110,1040
303001348,264,210,800,760
303001363,246,185,970,1080
303001368,344,205,920,870
305001348,61,22,1050,1120
305002229,91,46,990,1150
305003356,38,31,1060,1070
306001282,231,513,870,960
310001118,257,418,860,740
320051428,68,56,730,870
393145082,308,192,720,620
701152690,145,219,820,1000
701152718,336,298,890,890
701153937,256,107,800,880
701156394,289,132,790,870
701156579,333,321,640,650
701156643,314,249,840,930
701156644,192,199,810,1060
701158152,159,57,730,850
701158494,1,2,1060,1060
701158986,266,174,NULL,770
701159007,57,80,NULL,890
701159094,50,72,NULL,870
702686908,56,47,790,840
854137410,192,173,770,730
882552538,30,43,1080,1160
3042022059,205,237,920,940
304021,137,59,690,720
304055,5,NULL,NULL,NULL
2021009,41,5,1250,1300
2021011,104,67,NULL,960
2021020,106,28,1010,1060
2021043,86,34,1060,1060
2021052,109,86,920,900
2021077,92,70,740,1050
301001166,77,43,860,960
301001351,131,18,890,990
301001505,36,2,930,910
301001593,1,NULL,1000,1010
302001295,76,23,880,1040
302001301,64,77,940,990
302001306,107,83,700,800
302001315,102,76,770,840
302001335,222,474,850,840
303001029,5,1,NULL,NULL
303001035,1,NULL,NULL,NULL
303001324,272,116,870,870
303001350,253,221,850,960
303001364,293,30,1050,1090
305001281,80,109,NULL,NULL
305001452,303,326,750,790
305001461,255,554,870,1080
305001482,120,239,750,620
305001602,10,1,NULL,NULL
306001054,41,2,NULL,NULL
306001074,4,3,NULL,NULL
306001168,89,69,1100,1180
310001119,353,184,940,1130
359539543,35,6,640,650
437416114,339,232,600,750
701153834,225,201,830,790
701154010,76,88,NULL,770
701156021,307,46,930,940
701156650,1,NULL,820,750
701158959,1,5,760,870
725276719,42,81,730,740
3042022004,219,73,930,960
3042022040,201,204,850,950
3042022047,269,168,990,1080
3042022070,465,718,890,820
3042022081,249,407,850,770
2021010,262,125,820,740
2021035,114,66,990,900
2021053,30,25,1110,1160
2021060,100,12,1080,1120
2021071,122,187,830,NULL
